3858303	0.15	[2812275,2121606,3110102,3623921,3647730,2531440]
3858304	0.15	[3616380,3537921,3266127,3733527]
3858305	0.15	[2820107,1815194,3491436]
3858306	0.15	[3723190,3459603]
3858307	0.15	[3705312]
3858308	0.15	[3564705,2387073,3531670,3655463]
3858309	0.15	[3623220,3360668,3084420,3698079]
3858310	0.15	[3134163,3106703,3168778,3460245,3310865]
3858311	0.15	[2972724,3186067,3496967,3137047,3401431,2671951,2282854,2199198]
3858312	0.15	[2399631,3202950,3046509,3443136,3063136,2400008]
3858313	0.15	[2968094,3688400,3060566,3689998,3315352,2592936,3688398]
3858314	0.15	[2130311]
3858315	0.15	[3783510,2019475,2713201,3262206,3786563]
3858316	0.15	[2618055,2280836,2289323,2245420,3740843]
3858317	0.15	[2329729,2973576,3449992,3805383,766725]
3858318	0.15	[1108748,2584231,2591925,2691817,2836882,2532770,2045884,3174214,2394884,3555674,3110093]
3858319	0.15	[2817893,2781577,2640793,2867037,3066405,3008230]
3858320	0.15	[1501020,830016,689778,2436507]
3858321	0.15	[3064399,3744363,1781098,3336970,3081661,2811342,2962812,3094751,2714760,2334257,3416578]
3858322	0.15	[2635338,2127285]
3858323	0.15	[3229369,1838982,3218109]
3858324	0.15	[3308543,1755152,2143426,951472,2543998,1899775,2423786]
3858325	0.15	[447475,2528431,2830380,2728145,3218724]
3858326	0.15	[1864832,129311,1936846,34608,3392450,1323148,1336010]
3858327	0.15	[3583815,2431087,3205587,3210988,1662836]
3858328	0.15	[2631455,2468554,1811300,2888752,2380932,2098564]
3858329	0.15	[3434220]
3858330	0.15	[3022581,3121000]
3858331	0.15	[2707838,3626602,3724096,2834122]
3858332	0.15	[205960,3190013,3229388,3204343,3208162]
3858333	0.15	[2491883,1693711,1584316]
3858334	0.15	[3673710,2921386,531060,3290799,1873595,497917]
3858335	0.15	[3038597,1185538,3316669]
3858336	0.15	[1811781,2958963,3313047]
3858337	0.15	[3810318,3333353]
3858338	0.15	[3111777,2173406,2663952,3243903]
3858339	0.15	[2106335,1346053,1702700,311220,2087432,2169409,2266724]
3858340	0.15	[3503496,3445151,3466126,2994298,2779116,3000113,2586176,286736]
3858341	0.15	[3675242,3187320,3261013,3210876,3739512,3137082]
3858342	0.15	[2107034,2196136,1126294,2359517,732540]
3858343	0.15	[3670446,2086008,1457373,1566812,3341966,2323096,2814151,2851815]
3858344	0.15	[2563386,2594981]
3858345	0.15	[2447105,3739518]
3858346	0.15	[2996553,3070495,3220921]
3858347	0.15	[1896175,2526371,3053533]
3858348	0.15	[3287846,3724121,1384972,3717949]
3858349	0.15	[2637139,3273281,1486463,2366652]
3858350	0.15	[2475318,2814907]
3858351	0.15	[3571947,2959891,2781611]
3858352	0.15	[3005283,3745696,2945321,3063192,3583093,3490170,3383795]
3858353	0.15	[3660931,2310037,3648405]
3858354	0.15	[3359681,2053031,3022604]
3858355	0.15	[2987330,2532857,3606404,2722170,1700121,3203033]
3858356	0.15	[3258876,3388500,3065507,3060525]
3858357	0.15	[3295589,3147562,3263359,3091818]
3858358	0.15	[2641087,2325517,1814616,2387193,3201901,2696049,2290979]
3858359	0.15	[3380196,2677461,1326561,3004279,3756377,3007191,2064344,2684558,2181487,3691689]
3858360	0.15	[2261565,554300,3631631,2665035]
3858361	0.15	[3566546,2907151,2859567,3701219,3129535,1923020,2906064]
3858362	0.15	[2359594,828894,1254071,2722092]
3858363	0.15	[3550322,1816494,2084138,2826872,3274736]
3858364	0.15	[3762110,3486579,2256104,3650078,3245187,3282012,2307899,2668342,3555754,2634832]
3858365	0.15	[3553924,3676980,1962481,3163971,3324621]
3858366	0.15	[3528200,2606406]
3858367	0.15	[3065579]
3858368	0.15	[1837938,456208,2017881,3213642,170178]
3858369	0.15	[773612,2976649,2454777,933962]
3858370	0.15	[2921464,2651483,2459953,2317428,3279729]
3858371	0.15	[3258885]
3858372	0.15	[3183560,3054153,3277620,3255556,1272131,3114176,2810941,3512324,668720]
3858373	0.15	[411683,3462906,3320708,3062337]
3858374	0.15	[2258560,3550339,3158236,2198985,596217,1090171,3355852]
3858375	0.15	[2174441,1268032,3001245,3314201,2949981,3205630,3488906,3638372,1836980,3734550,3570182,3362123,3147518,2976970,852450]
3858376	0.15	[2043445,1708462,1465653,1732243,1369794,2140998,1477520,1420220]
3858377	0.15	[3719014,3436885,3449877,1962826,3574985,3377756,3398499]
3858378	0.15	[2175916,2335376,2663812,2756361,1562533,2449759,2508063,3302961,2951167,2163409,2569665,2651144,2707850]
3858379	0.15	[2340866,3220960,3308491,3190843,3548420,3721232]
3858380	0.15	[3457695,3513622,3492783,3230687]
3858381	0.15	[3698151,3410053,3423900,3105337,2746221]
3858382	0.15	[2069266,2045678,2790591,3468100,3100569,1794517,3044233,3646723]
3858383	0.15	[2672002,3034275,3350864,2926478]
3858384	0.15	[2318291,3271940,3600876,2647353,2716321]
3858385	0.15	[3540201,3540200,3478504,3455095,3077311,3640059]
3858386	0.15	[3419060,3670489,3342027,3365875,3664114]
3858387	0.15	[3184436,3418199,3696074,3560448,3608299]
3858388	0.15	[3688492,3817025,3744238]
3858389	0.15	[2786326,3462943,3733804,3638418,3577876]
3858390	0.15	[3621657,3181295,3252686,3777482,3777479]
3858391	0.15	[3443112,3691759,3440433,2886015,2962597,3310937]
3858392	0.15	[3299812,2912902,3092525,3106131,3754060,2589703,3102833,3199289]
3858393	0.15	[2892312,3470694,2936712,3444689]
3858394	0.15	[2274232,3401676,3710569,3383092,3809020]
3858395	0.15	[3716990,3048982,3686867,3358451]
3858396	0.15	[3481251,3160076]
3858397	0.15	[3410604,3348883,3278234,3470943,1917154,2930197,2461449,3552128,3140986,3284137,3449247,3421794,3432205,2994200]
3858398	0.15	[3020965,3608317,1293693,1435144,3478524]
3858399	0.15	[2397382,3543522,3750410,3140858,3212270,2922283]
3858400	0.15	[3712825,2187223,3389560,3638434,495036,1023526,1474808,1534968,1876205,3300938,3381479]
3858401	0.15	[3017934,3359741,3738434]
3858402	0.15	[3667240,3720066,3708987,3541588,3535884,2187871,3592155]
3858403	0.15	[2741899,3229470,2522787,3460373]
3858404	0.15	[2964916,3262280,3555483,3097496,2756765]
3858405	0.15	[3719058,2495350,3315487,2902838]
3858406	0.15	[3785554,2642724,2155516,3242687]
3858407	0.15	[3798921,3214932,3626715,3810366,3525234,2504184]
3858408	0.15	[2010259,2398035,1963565,2054460,2139244,2500679,3008306]
3858409	0.15	[3405986,3674359,2449824]
3858410	0.15	[2492479,1723630,2203591,2664716,2187387]
3858411	0.15	[1223924,1304103,1648624,607854,2304766]
3858412	0.15	[2841161,3055390,2354961,3028924,1483865,3403696,2239192]
3858413	0.15	[1483560,2209855,3353374,2439569]
3858415	0.15	[3668904,3781523,3780541]
3858416	0.15	[3327499,3781532,3324685,3680753]
3858417	0.15	[3550403,3738123,3108462,3036449,3668900,3745794,3159015]
3858418	0.15	[2313225,2797530,2039490,3354922,1642577,3295252,3267830]
3858419	0.15	[786586,1662612]
3858420	0.15	[16749,3001392,904860]
3858421	0.15	[1042477,3606779,1492076,3263321]
3858422	0.15	[3557590,3555866,3654788,3566647,3575025,3252312,3438125]
3858423	0.15	[3167980,3301032,873997,3143009,2710550,2709934]
3858424	0.15	[3169423,1071846,3147648,3461704,2601793,3076360]
3858425	0.15	[3492850,2987096,1382309,3435649]
3858426	0.15	[2887224,3748885,2741363,3731519]
3858427	0.15	[1702378,2700407,1766217,3316787,1610982,1807824]
3858428	0.15	[2804681,2742076,1956818,3119289,3588980,2471486,3561099,2851770,3628226]
3858429	0.15	[747749,2887145,696068,3051216,3472058,3324703]
3858430	0.15	[3559449,3543560,2132148]
3858431	0.15	[1758451,3307830,3168034,1977423,1571622,1326511]
3858432	0.15	[2652770,1883513,1827558,3590624,3464654,3557600,3549216,3493273,1437024,1960166,3727442,3301611,3030879,3130699,2102842]
3858433	0.15	[3059471,3473382]
3858434	0.15	[3552930,2484217,2824789,3507146,3476516]
3858435	0.15	[3468781,3589171,3701632,3400650,3690835]
3858436	0.15	[3584500,3662593,3464263]
3858437	0.15	[3024644,3712119,2847853,3140600,3190111]
3858438	0.15	[3427868,3354700]
3858439	0.15	[3505597,3713127,3822586]
3858440	0.15	[3248923]
